Hello!	Hi! How are you?
Means Civil engineer	that is awesome, do you listen to music? i do. classical. 
that is awesome, do you listen to music? i do. classical. 	cool, my sister plays that too. she is also a pole dancer. 
Hi	Hi
Hi	hello , how are you ?
hello , how are you ?	Feeling good
Feeling good	what do you do for a living ?
what do you do for a living ?	Im an electrician
Im an electrician	do you have any hobbies ?
do you have any hobbies ?	Yes, I love to play ping pong
Yes, I love to play ping pong	that is a good thing to do
that is a good thing to do	How about you
How about you	i like to go to the beach
i like to go to the beach	Do u surf?
Do u surf?	i do not have a lot of time for that .
i do not have a lot of time for that .	Whats your occupation
Whats your occupation	do you have any hobbies ?
Tell be something about hummus	hi, how are you today? i am doing well. 
okk	hi how are you today? i am good. 
Really	hello, how are you doing? how are you doing today? 
hello, how are you doing? how are you doing today? 	Nothing much
Nothing much	Nothing much
Nothing much	Nothing much
Nothing much	Now m in hospital
Now m in hospital	what do you do for a living? i'm a bee farmer. 
what do you do for a living? i'm a bee farmer. 	do you have any family? i'm close to george. 
do you have any family? i'm close to george. 	what is your favorite food? i love papaya. 
what is your favorite food? i love papaya. 	No
No	what happened? is it painful? 
what happened? is it painful? 	No
No	Melon
Melon	i'm sorry. i can imagine. 
i'm sorry. i can imagine. 	Okk
Okk	U r boy
U r boy	do you live in a hospital? i am a bee. 
do you live in a hospital? i am a bee. 	No
No	M suffering from fever
M suffering from fever	i don't. i don't like bees. 
i don't. i don't like bees. 	Bees means
Bees means	i am george. what is yours? 
i am george. what is yours? 	yes, i'm. do you like bees? 
yes, i'm. do you like bees? 	i do. they're the best. 
i do. they're the best. 	oh no. what's your name? i'm george. 
oh no. what's your name? i'm george. 	oh, bees are the best bees. i love them. 
Hello, would you like to talk with me	Hello, would you like to talk with me?
Dont know	What do you mean?
I like to watch prince mahesh movies	I have no pets
I have no pets	i watch a lot of war documentaries when i'm not teaching. do you? 
i watch a lot of war documentaries when i'm not teaching. do you? 	do you have any pets? i don't. 
do you have any pets? i don't. 	No
No	Pets
Pets	Even i am chatting with my buddiea
Even i am chatting with my buddiea	Buddies
Buddies	oh. i don't either. i am retired. 
oh. i don't either. i am retired. 	Ooo i am not retired
Ooo i am not retired	I am on education
I am on education	Final year
Final year	what do you like to do? do you like to travel? 
what do you like to do? do you like to travel? 	Ha yes I like alot
Ha yes I like alot	To travel
To travel	World
World	oh. what is your favourite food? 
oh. what is your favourite food? 	Rice  with pickel and egg omlet and lollipop biryani and what about yours
Rice  with pickel and egg omlet and lollipop biryani and what about yours	that is nice. i like cheeseburgers too. 
that is nice. i like cheeseburgers too. 	Burgers
Burgers	Chicken or veg
Chicken or veg	what are you retired from? i teach gym. 
what are you retired from? i teach gym. 	Hey me too same pinch
Hey me too same pinch	that is cool. i'm retired. 
that is cool. i'm retired. 	You want to give chocolate
You want to give chocolate	I am not retired
I am not retired	I am age of 20
I am age of 20	that is great. i was poor. 
that is great. i was poor. 	what kind of food do you love? cheeseburgers? 
what kind of food do you love? cheeseburgers? 	Rich or poor is not important our character want to be rich it means aaa we want be with aaa good character
Rich or poor is not important our character want to be rich it means aaa we want be with aaa good character	that would be so cool. where do you travel? 
that would be so cool. where do you travel? 	Regularly to kolakluru
Regularly to kolakluru	To my frds house
To my frds house	i would love to travel to other countries. i used to be poor. 
i would love to travel to other countries. i used to be poor. 	Oooo
Oooo	i have always wanted to go to europe. i love the food. 
i have always wanted to go to europe. i love the food. 	yes, me too! i love them. 
yes, me too! i love them. 	veg. it is my favorite. 
veg. it is my favorite. 	i am so hungry! i need to eat! 
i am so hungry! i need to eat! 	no, i want to be rich. rich people need to be rich. 
no, i want to be rich. rich people need to be rich. 	Yes yes
Yes yes	Correct
Correct	You are aaa foody
You are aaa foody	Right I too
Right I too	you are a rich person. i'm retired. 
you are a rich person. i'm retired. 	No no I am not rich as you think
No no I am not rich as you think	that's a great age. i'm 35. 
that's a great age. i'm 35. 	Ha ha nice
Ha ha nice	i understand that. i just wish i could be rich! 
i understand that. i just wish i could be rich! 	Ooo
Ooo	that is a great place to live. i wish i lived there. 
that is a great place to live. i wish i lived there. 	do you live with your parents? do they live with you? 
do you live with your parents? do they live with you? 	Yes
Yes	do you watch any movies? i love to watch war. 
do you watch any movies? i love to watch war. 	Mee tooo
Mee tooo	i like to watch it with my mom and dad, they are great people. they are great. 
i like to watch it with my mom and dad, they are great people. they are great. 	do you work out at all? i'm retired. 
do you work out at all? i'm retired. 	i'm a gym instructor, i love cheeseburgers! you? 
i'm a gym instructor, i love cheeseburgers! you? 	what are your hobbies? i like watching war. 
what are your hobbies? i like watching war. 	My hobbies playing games
My hobbies playing games	And spending time with buddies
And spending time with buddies	oh, i don't think so either. you re rich? 
oh, i don't think so either. you re rich? 	No
No	i'm retired now, and i like food. cheeseburgers are the best. 
i'm retired now, and i like food. cheeseburgers are the best. 	what's your favorite food? mine is cheeseburgers. 
what's your favorite food? mine is cheeseburgers. 	what's yours? i'm not sure. 
what's yours? i'm not sure. 	what is the name of your band? i don. 
what is the name of your band? i don. 	do you play with the band? what do they play? 
do you play with the band? what do they play? 	what do your friends like to eat? i am a cheeseburger eater. 
what do your friends like to eat? i am a cheeseburger eater. 	do you eat cheeseburgers while you watch movies? they are my favorite! 
	
	hi how are you doing tonight? i am doing well. 
hi how are you doing tonight? i am doing well. 	Ok
Ok	Ok
Ok	Me too
Me too	what are your hobbies? i volunteer at a local community hospital. 
what are your hobbies? i volunteer at a local community hospital. 	what do you do for a living? i work in a ship yard. 
what do you do for a living? i work in a ship yard. 	i'm a volunteer. it is very rewarding. 
i'm a volunteer. it is very rewarding. 	do you have any hobbies? mine is volunteering. 
Hi	End
End	do you have any hobbies ?
Hi	Hi
Hi	hello , how are you ?
hello , how are you ?	Fyn
Fyn	what do you do ?
Peer means what	hi, how are you? what do you do for a living? I am in stunt
Cool	Nice to meet u
Nice to meet u	what are your hobbies? i love to skate. 
what are your hobbies? i love to skate. 	I love football
I love football	what do you like to do for fun? i like playing with rob. 
what do you like to do for fun? i like playing with rob. 	
that is awesome. what is football like? 
that is awesome. what is football like? 	U don't know football?
U don't know football?	do you have any other sports? i'm into skating. 
do you have any other sports? i'm into skating. 	Yeah, i love cricket also
Yeah, i love cricket also	no. i don't know much about football. 
no. i don't know much about football. 	So what we are doing here
So what we are doing here	That's weird
That's weird	that's cool! do you skateboard? 
that's cool! do you skateboard? 	No
No	we are skating, do you skate? i do sometimes. 
we are skating, do you skate? i do sometimes. 	No never
No never	why do you say that? are you a skier? 
why do you say that? are you a skier? 	oh okay. do you ski? 
oh okay. do you ski? 	oh ok. i'm a skier. 
oh ok. i'm a skier. 	No here snowfall doesn't happens
No here snowfall doesn't happens	i don't like it. i don't like it. 
Me too	hello, how are you? I just got back from school. I am 13
hello, how are you? I just got back from school. I am 13	Me to o
Me to o	I m 14 year
I m 14 year	me too. I am 13
me too. I am 13	I'm 13. what do you do for a living? I am on the bus
I'm 13. what do you do for a living? I am on the bus	D u d work for living .?
D u d work for living .?	I m still a child
I m still a child	I do. I work for a soccer company. do you have any hobbies?
I do. I work for a soccer company. do you have any hobbies?	me too. I do not have a living. I ride my bus
me too. I do not have a living. I ride my bus	Yes.... great
Yes.... great	do you like math? I do. I hate it. I am a soccer player
do you like math? I do. I hate it. I am a soccer player	math ...off
